Sub_districts
JAMMU & KASHMIR
Kupwara
Kupwara
Handwara
Karnah
Baramula
Gurez
Bandipore
Sonawari
Sopore
Pattan
Baramula
Uri
Gulmarg
Srinagar
Kangan
Ganderbal
Srinagar
Badgam
Beerwah
Badgam
Chadura
Pulwama
Pampore
Tral
Pulwama
Shupiyan
Anantnag
Pahalgam
Bijbehara
Anantnag
Kulgam
Duru
Leh (Ladakh)
Leh
Kargil
Kargil
Zanskar
Doda
Banihal
Ramban
Doda
Kishtwar
Thathri
Bhalessa (Gandoh)
Bhaderwah
Udhampur
Gool Gulab Garh
Reasi
Udhampur
Chenani
Ramnagar
Punch
Haveli
Mendhar
Surankote
Rajauri
Thanamandi
Rajauri
Budhal
Kalakote
Nowshehra 
Sunderbani  
Jammu
Akhnoor
Jammu
Ranbirsinghpora
Bishna
Samba
Kathua
Billawar
Bashohli
Kathua
Hiranagar
HIMACHAL PRADESH
Chamba
Pangi(T)
Chaurah(T)
Saluni(T)
Bhalai(S.T)
Dalhousie(T)
Bhattiyat(T)
Sihunta(S.T)
Chamba(T)
Holi(S.T)
Brahmaur(T)
Kangra
Nurpur(T)
Indora(T)
Fatehpur(T)
Jawali(T)
Harchakian(S.T)
Shahpur(T)
Dharmsala(T)
Kangra(T)
Baroh(T)
Dera Gopipur(T)
Jaswan(T)
Rakkar(S.T)
Khundian(T)
Thural(S.T)
Dhira(S.T)
Jai Singhpur(T)
Palampur(T)
Baijnath(T)
Multhan(S.T)
Lahul & Spiti
Udaipur (S.T)
Lahul     (T)
Spiti       (T)
Kullu
Manali(T)
Kullu(T)
Sainj(S.T)
Banjar(T)
Ani(S.T)
Nermand(T)
Mandi
Padhar(T)
Jogindarnagar(T)
Lad Bharol(T)
Sandhol(S.T)
Dharmpur(S.T)
Kotli(S.T)
Sarkaghat(T)
Baldwara(S.T)
Sundarnagar(T)
Mandi(T)
Aut(S.T)
Bali Chowki(S.T)
Thunag(T)
Chachyot(T)
Nihri(S.T)
Karsog(T)
Hamirpur
Tira Sujanpur(T)
Nadaun(T)
Hamirpur(T)
Barsar(T)
Dhatwal(ST)
Bhoranj(T)
Una
Bharwain(S.T)
Amb(T)
Bangana(T)
Una(T)
Haroli(S.T)
Bilaspur
Ghumarwin(T)
Jhanduta(T)
Naina Devi(S.T)
Bilaspur Sadar(T)
Solan
Arki(T)
Ramshahr(S.T)
